Art17_FLAUWWTPID,ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,repCode,uwwCode,uwwName
727,23209,Investments are mentioned in ÈOV Udièa,0,CF,4200,20211201,20221201,20181201,20190101,2,4200,,0,,,building of new WWTP,,,new requirements,N,,SKCAO30603445137413,COV Udica - Centrum
743,23209,WWTP in testing operation,14250000,CF,2915,20190101,20200101,20160601,20170101,2,2901,,15000000,,,intensification of WWTP,,,obsolescence,N,,SKCAO40103985013281,COV Pribeta
759,23209,,4750000,CF,6423,20201201,20211201,20141201,20180101,2,3700,,5000000,,,expanding of WWTP,,,low capacity of WWTP,C,,SKCAO40304145005771,COV Mojmirovce
11307,23182,,,,4800,20181231,20191231,,20161231,3N,4800,,1500000,,,restitution des conclusions du schéma directeur assainissement en juin 2015,,,mauvaises performances,N,,FR0564061V002,ARTIX 2
11353,23182,,,,20000,20171231,20181231,,20140601,3NP,18000,,2195000,,,"Déconnexion des eaux claires parasites et gestion des eaux pluviales , étude instrumentation d'ouvrages avec identification des principaux apports d'ECP, déconnexion cours d'eau, si nécessaire création dun bassin de stockage-restitution et réhabilitation-création STEU.",,,Surcharge hydraulique du système de collecte et de la station de traitement (intrusion dECP et dECM) entraînant des déversements fréquents et pouvant entraîner un défaut de performances de traitement.,N,,FR011090400000,Courcelles Les Lens
11362,23182,,,,4000,20171231,20181231,,20160601,3NP,3650,,3310000,,,Construction dune nouvelle station de traitement,,,"obsolescence, mauvaises performances",N,,FR060925222001,ETALANS
11380,23182,,,,2400,20150801,20160831,,,2,2400,,0,,,équipement complémentaire autosurveillance,,,autosurveillance non réglementaire,N,,FR0565226V005,IBOS
11388,23182,,,,7500,20180111,20190111,20160111,20170112,2,5000,,0,,,Nouvelle STEU,,,augmentation de la charge et fonctionnement défectueux,N,,FR060911202003,LA FRANQUI
11389,23182,,,,,20171231,20181231,,20160601,2,14000,,0,,,Selon diagnostic  travaux palliatifs et projet de bassin d'orage et de nouvelle STEU,,,mauvaises performances,N,,FR060930132001,LA GRAND-COMBE
11391,23182,,,,4000,20161201,20171201,20130523,20141001,3NP,3000,,3018600,,,Construction d'une nouvelle station et programme de travaux sur les réseaux communaux,,,augmentation de la charge et mauvaises performances,N,,FR0463413S0001,LA SAUVETAT Bourg
11392,23182,,2520000,FEADER,6500,20150415,20160430,20111220,20111230,2,3500,,4000000,,,Nouvelle station,,,Obsolescence et absence d'autosurveillance,N,,FR099730800001,lagune bourg de St Georges
11395,23182,,,Appel aux fonds européen,2800,20141231,20151231,20140801,20140901,2,2500,,0,,,"Vidange des ouvrages - travaux sur les réseaux de collecte - nouvelle station envisagée,",,,mauvaises performances - fonctionnement défectueux - eaux claires parasites,N,,FR0512120V001,LAISSAC
11396,23182,,,non,20000,20151231,20161231,20140401,20141231,3P,10000,,1300000,,,nouvelle station et gestion des effluents industriels,,,sous dimensionnement hydraulique et organique.,N,,FR0453127S0001,LASSAY-LES-CHATEAUX
11402,23182,,,,6000,20160601,20170601,20130731,20140501,2,2000,,3632000,,,Construction d'une nouvelle station,,,conception inadéquate,N,,FR060906075001,LEVENS LA GUMBA
11430,23182,,,,,20171231,20181231,,20161231,2,15000,,0,,,Option non encore arrêtée,,,Surcharge hydraulique (importante) et organique,N,,FR080000197207,PAYS NOYE
11447,23182,,,,8400,20130501,20140501,20101231,,2,7300,,2180000,,,construction d'une deuxième file de traitement,,,mauvaises performances,C,,FR060913083002,ROGNONAS
744,23209,serious technical problems,2319610,CF,5000,20180301,20181201,20151231,20160301,2,4170,,2441700,,,intensification of WWTP,,,obsolescence,N,,SKCAO20202675040501,COV Soporna
11486,23182,,,NON,7500,20130724,20140724,20120507,20120501,3Nm,4400,,5282000,,,Nouvelle steu,,,dimensionnement inadapté,N,,FR0540273V002,ST MARTIN DE SEIGNANX
