ReceivingAreas_SAParametersId,rcaCode,rcaParameter,rcaDateDesignation,rcaDateDesignation_original,rcaStartDate,rcaStartDate_original,rcaCRelevantDirective,rcaCIDOtherDirective,rcaCDateOtherDirective,rcaCDateOtherDirective_original,ReportNetEnvelopeFileId
132953,ITCM13CSA1000000004,aN,,2010-08-09T00:00:00,,,,,,,27565
132954,ITLK17SA0000000104,aP,,2006-12-19T00:00:00,,,,,,,27565
132955,ITCM99CSA09000005,aP,,2004-12-29T00:00:00,,,,,,,27565
133033,IEGBNIRI_NB_2001_0014b,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133034,IEGBNIRI_NW_2001_0013,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133035,IEGBNIRI_NW_2001_0013,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133036,IEGBNITW_NB_2001_0038a,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133037,IEGBNITW_NB_2001_0038a,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133038,IERI_EA_1994_0001,aN,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133039,IERI_EA_1994_0001,aP,19941214,1994-12-14,19981231,1998-12-31,,,,,27568
133040,IERI_EA_1994_0004,aP,19941214,1994-12-14,19981231,1998-12-31,,,,,27568
133041,IERI_EA_2010_0007,aP,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133042,IERI_SE_2001_0016,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133043,IERI_SE_2001_0016,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133044,IERI_SE_2001_0017,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133045,IERI_SE_2001_0019,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133046,IERI_SE_2001_0020,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133047,IERI_SE_2001_0020,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133048,IERI_SH_1994_0002,aN,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133049,IERI_SH_1994_0002,aP,19941214,1994-12-14,19981231,1998-12-31,,,,,27568
133050,IERI_SH_1994_0005,aN,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133051,IERI_SH_1994_0005,aP,19941214,1994-12-14,19981231,1998-12-31,,,,,27568
133052,IERI_SH_1994_0006,aP,19941214,1994-12-14,19981231,1998-12-31,,,,,27568
133053,IERI_SH_2001_0012,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133054,IERI_SH_2001_0021,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133055,IERI_SH_2001_0021,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133056,IERI_SH_2010_0002,aP,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133057,IERI_SH_2010_0003,aN,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133058,IERI_SH_2010_0003,aP,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133059,IERI_SW_2001_0022,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133060,IERI_SW_2001_0022,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133061,IERI_WE_1994_0003a,aP,19941214,1994-12-14,19981231,1998-12-31,,,,,27568
133062,IETW_EA_2001_0026,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133063,IETW_EA_2001_0026,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133064,IETW_EA_2001_0027a,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133065,IETW_EA_2001_0027a,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133066,IETW_SE_2001_0028,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133067,IETW_SE_2001_0028,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133068,IETW_SE_2001_0029,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133069,IETW_SE_2001_0029,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133070,IETW_SH_2001_0034,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133071,IETW_SH_2001_0034,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133072,IETW_SW_2001_0033,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133073,IETW_SW_2004_0041,aN,20040714,2004-07-14,20110714,2011-07-14,,,,,27568
133074,IETW_SW_2004_0041,aP,20040714,2004-07-14,20110714,2011-07-14,,,,,27568
133075,IETW_SW_2004_0042,aN,20040714,2004-07-14,20110714,2011-07-14,,,,,27568
133076,IEGBNILK_NB_2001_0024,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133077,IERI_SE_2010_0001,aP,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133078,IETW_SW_2001_0040,aN,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133079,IETW_SW_2010_0002,aN,20100211,2010-02-11,20161222,2016-12-22,,,,,27568
133080,IETW_SW_2010_0002,aP,20100211,2010-02-11,20161222,2016-12-22,,,,,27568
133081,IETW_SW_2001_0032,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133082,IECM_SW_2001_0032,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133083,IECM_EA_1994_0001,aP,19981231,1998-12-31,19941214,1994-12-14,,,,,27568
133084,IECM_SH_1994_0007,aP,19981231,1998-12-31,19941214,1994-12-14,,,,,27568
133085,IECM_26_04,aP,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133086,IECM_26_05,aP,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133087,IECM_19_01,aN,20040715,2004-07-15,20080531,2008-05-31,,,,,27568
133088,IELK_SH_1994_0007,aP,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133089,IELK_SW_1994_0009,aP,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133090,IELK_SW_1994_0009,aN,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133091,IEGBNIRI_NB_2001_0011,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133092,IECM_SW_1994_0009,aN,19981231,1998-12-31,19941214,1994-12-14,,,,,27568
133093,IECM_SW_1994_0009,aP,19981231,1998-12-31,19941214,1994-12-14,,,,,27568
133094,IECM_SE_2001_015,aP,20100211,2010-02-11,20170211,2017-02-11,,,,,27568
133095,IERI_SE_2001_0015,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133096,IEGBNICM_NB_2001_0011,aP,20080613,2008-06-13,20010613,2001-06-13,,,,,27568
133097,IECM_SW_2001_0032,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133098,IECM_EA_1994_0001,aP,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133099,IECM_SH_1994_0007,aP,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133100,IECM_SW_2004_0041,aN,20040714,2004-07-14,20110714,2011-07-14,,,,,27568
133101,IECM_SW_1994_0009,aN,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133102,IECM_SW_1994_0009,aP,19941231,1994-12-31,19981214,1998-12-14,,,,,27568
133103,IECM_SE_2001_0015,aP,20010211,2001-02-11,20080211,2008-02-11,,,,,27568
133104,IEGBNICM_NB_2001_0011,aP,20010613,2001-06-13,20080613,2008-06-13,,,,,27568
133105,IECM_SH_2010_0002,aP,20101214,2010-12-14,20171231,2017-12-31,,,,,27568
133106,IETW_EA_2010_0001,aP,20100211,2010-02-11,20171222,2017-12-22,,,,,27568
133107,IETW_EA_2010_0001,aN,20100211,2010-02-11,20161222,2016-12-22,,,,,27568
133108,IEGBNICA_NW_2001_0037,aP,20010613,2001-06-13,20080531,2008-05-31,,,,,27568
133198,ESCM648,c,20010731,2001-07-31,20080731,2008-07-31,76/160/CEE,,,,27735
133199,ESCM649,c,20030529,2003-05-29,20100529,2010-05-29,76/160/CEE PARAMETROS MICROBIOLOGICOS Y FISICO-QUIMICOS,,,,27735
133200,ESCM643,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133201,ESCM644,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133202,ESCM645,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133203,ESCM669,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133204,ESCM670,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133205,ESCM673,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133206,ESCM761,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133207,ESCA628,c,20040204,2004-02-04,20110204,2011-02-04,76/160/CEE,,,,27735
133208,ESCM750,c,20030529,2003-05-29,20100529,2010-05-29,76/160/CEE PARAMETROS MICROBIOLOGICOS Y FISICO-QUIMICOS,,,,27735
