Andau,47.7787,17.0491
"Deutschkreuz (Mittleres Burgenland) Goldbachtal",47.5945,16.6406
"Deutsch Schützen (Deutsch Schützen - Höll)",47.137,16.447
"Eisenstadt (Eisbachtal)",47.8311,16.5422
Frauenkirchen,47.8269,16.9226
"Gattendorf (Gattendorf-Neudorf)",48.0115,16.993
"Gols (Gols - Mönchhof)",47.8857,16.92
"Großwarasdorf, Nebersdorf, Langental",47.5047,16.5734
Heiligenbrunn,47.0124,16.4519
Jois,47.9491,16.7938
"Klostermarienberg (Lockenhaus) Günstal",47.4243,16.5804
Mischendorf,47.1862,16.3465
"Neufeld (Neufelderseengebiet)",47.8816,16.3838
Nikitsch,47.5312,16.669
"Oberpullendorf (Mittleres Burgenland) Stooberbachtal",47.4888,16.5274
"Riedlingsdorf (Oberes Pinkatal)",47.3287,16.1486
Podersdorf,47.8637,16.8392
Rechnitz,47.3015,16.4534
"Siget / Wart (Mittleres Pinka- und Zickenbachtal)",47.2537,16.2784
"Schandorf - Schachendorf",47.238,16.4195
Schattendorf,47.7139,16.5204
"Bocksdorf (Oberes Stremtal)",47.1382,16.1831
"St.Andrä",47.785,16.9195
"Wulkaprodersdorf (Wulkatal)",47.8006,16.5173
"Pamhagen (Seewinkel)",47.7204,16.8732
"Nickelsdorf (Nickelsdorf - Zurndorf)",47.9448,17.0894
"Glasing (Mittleres Strem- und Zickenbachtal)",47.0478,16.3651
"Wolfau (Stögersbachtal)",47.2535,16.0918
"Lutzmannsburg (Lutzmannsburg - Frankenau)",47.456,16.6612
"Neumarkt (Tauchental)",47.2841,16.2981
"Burg (Tauchental)",47.2046,16.4132
Tadten,47.7648,17.0028
"Kleinzicken (Tauchental)",47.2079,16.3268
Halbturn,47.8558,17.001
"Heiligenkreuz/Lafnitztal (Bez.Jennersdorf) Lafnitztal-Raabtal",46.9659,16.2582
"Schützen (Neusiedlersee-Westufer)",47.8581,16.6482
"Hochneukirchen, Harmannsdorf, Züggen, Kirchschlagl, Maltern, Offenegg",47.4225,16.2067
Wimpassing/Leitha,47.926,16.437
"WV Abwasserverband Völkermarkt-Jaunfeld (Eberndorf)",46.6399,14.6538
"ABKM ABKM-Abwasserbeseitigung Kötschach-Mauthen Errichtung und Betriebsgesellschaft",46.6699,13.0154
"Marktgemeinde Hüttenberg",46.9283,14.5481
"WV Abwasserverband Raum Friesach-Althofen",46.8608,14.4558
"Reinhalteverband für das Gebiet St. Veit/Glan",46.74,14.3853
"WV Reinhalteverband Mölltal",46.9193,13.2165
"Gemeinde Heiligenblut",47.0154,12.8667
